date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:02:28	12071/12071	---MCZ	200	added ('OK')	application/javascript	etag:W/%225eb52b44-2f27%22	https://a.kapanlagi.com/v5/js/m-native-videos-v3.js?prodtm0	Z:/home/error/Documents/lirik/lirik/a.kapanlagi.com/v5/js/m-native-videos-v3589a.js	(from https://m.kapanlagi.com/lirik/artis/gwen-stefani/ache/)
12:02:29	71315/71315	---MCZ	200	added ('OK')	application/javascript	etag:W/%22573d8908-11693%22	https://a.kapanlagi.com/v5/js/m/vendor/boostrap_2.js	Z:/home/error/Documents/lirik/lirik/a.kapanlagi.com/v5/js/m/vendor/boostrap_2.js	(from https://m.kapanlagi.com/lirik/artis/gwen-stefani/ache/)
12:02:29	183/183	---M--	200	added ('OK')	image/png	etag:%221573702983.9708257-183-798492009%22	https://cdns.klimg.com/kapanlagi.com/v5/m/i/assets/img/new-menu-icon.png	Z:/home/error/Documents/lirik/lirik/cdns.klimg.com/kapanlagi.com/v5/m/i/assets/img/new-menu-icon.png	(from https://m.kapanlagi.com/lirik/artis/gwen-stefani/ache/)
12:02:30	7130/7130	---M--	200	added ('OK')	image/png	etag:%221586322883.6134822-7130-847971884%22	https://cdns.klimg.com/kapanlagi.com/v5/m/i/assets/img/logo/kllogo-mobile-entertainment-20200408.png	Z:/home/error/Documents/lirik/lirik/cdns.klimg.com/kapanlagi.com/v5/m/i/assets/img/logo/kllogo-mobile-entertainment-20200408.png	(from https://m.kapanlagi.com/lirik/artis/gwen-stefani/ache/)
12:02:30	1169/1169	---M--	200	added ('OK')	image/png	etag:%221573702985.4406354-1169-854132223%22	https://cdns.klimg.com/kapanlagi.com/v5/m/i/assets/img/new-search-icon.png	Z:/home/error/Documents/lirik/lirik/cdns.klimg.com/kapanlagi.com/v5/m/i/assets/img/new-search-icon.png	(from https://m.kapanlagi.com/lirik/artis/gwen-stefani/ache/)
12:02:30	1377/1377	---MCZ	200	added ('OK')	text/css	etag:W/%225cd14758-561%22	https://a.kapanlagi.com/v5/css/m2/update_navbar.css	Z:/home/error/Documents/lirik/lirik/a.kapanlagi.com/v5/css/m2/update_navbar.css	(from https://m.kapanlagi.com/lirik/artis/gwen-stefani/ache/)
12:02:31	2466/2466	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cd14250-9a2%22	https://a.kapanlagi.com/v5/js/m2/update_navbar.js	Z:/home/error/Documents/lirik/lirik/a.kapanlagi.com/v5/js/m2/update_navbar.js	(from https://m.kapanlagi.com/lirik/artis/gwen-stefani/ache/)
12:02:31	818/818	---M--	200	added ('OK')	image/png	etag:%221573702985.5659957-818-859113014%22	https://cdns.klimg.com/kapanlagi.com/v5/m/i/assets/img/close.png	Z:/home/error/Documents/lirik/lirik/cdns.klimg.com/kapanlagi.com/v5/m/i/assets/img/close.png	(from https://m.kapanlagi.com/lirik/artis/gwen-stefani/ache/)
12:02:31	416/416	---M--	200	added ('OK')	image/png	etag:%221573637206.6251032-416-842073611%22	https://cdns.klimg.com/kapanlagi.com/v5/m/i/assets/img/new-close-icon-red_rev3.png	Z:/home/error/Documents/lirik/lirik/cdns.klimg.com/kapanlagi.com/v5/m/i/assets/img/new-close-icon-red_rev3.png	(from https://m.kapanlagi.com/lirik/artis/gwen-stefani/ache/)
12:02:32	2378/2378	---MCZ	200	added ('OK')	text/css	etag:W/%225bebdf86-94a%22	https://a.kapanlagi.com/v5/m/css/n_m_menu_newlist.css?d2	Z:/home/error/Documents/lirik/lirik/a.kapanlagi.com/v5/m/css/n_m_menu_newlistb25b.css	(from https://m.kapanlagi.com/lirik/artis/gwen-stefani/ache/)
12:02:32	12070/12070	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e30bbe4-2f26%22	https://a.kapanlagi.com/v5/js/m/pageloader.js	Z:/home/error/Documents/lirik/lirik/a.kapanlagi.com/v5/js/m/pageloader.js	(from https://m.kapanlagi.com/lirik/artis/gwen-stefani/ache/)
12:02:33	248/248	---M--	200	added ('OK')	text/css	etag:%225c86c88e-f8%22	https://a.kapanlagi.com/v5/css/m2/pageloader.css	Z:/home/error/Documents/lirik/lirik/a.kapanlagi.com/v5/css/m2/pageloader.css	(from https://m.kapanlagi.com/lirik/artis/gwen-stefani/ache/)
12:02:33	14869/14869	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dd626c5-3a15%22	https://a.kapanlagi.com/v5/js/m/social.js	Z:/home/error/Documents/lirik/lirik/a.kapanlagi.com/v5/js/m/social.js	(from https://m.kapanlagi.com/lirik/artis/gwen-stefani/ache/)
